subid,blockid,difference.in.rt.aa,mean.difference.in.rt,mean.absolute.difference.in.rt,rt_ratio,mean.difference.in.moral.score,mean.absolute.difference.in.moral.score,bias_ratio
16,4,-0.036525800000163144,0.038742366667065674,0.07733976666653081,0.16666666666666666,-0.2270114942528736,0.2270114942528736,0.16666666666666666
13,4,-3.516657599999689,-3.347129199999926,3.347129199999926,0.0,-0.2270114942528736,0.2270114942528736,0.16666666666666666
28,4,0.028055400000994213,0.09288653333351243,0.09427373333346621,0.6666666666666666,-0.2270114942528736,0.2270114942528736,0.16666666666666666
21,4,0.09550539999963803,0.6194150999999692,0.6194150999999692,1,-0.2270114942528736,0.2270114942528736,0.16666666666666666
15,4,0.09878300000036694,0.12158293333413901,0.12158293333413901,1,-0.2270114942528736,0.2270114942528736,0.16666666666666666
4,0,-0.0330740999999079,-0.062152833333281345,0.07194383333330732,0.16666666666666666,0.04844006568144495,0.04844006568144495,1
29,0,0.031121500000153957,0.02984926666658792,0.02984926666658792,1,0.04844006568144495,0.04844006568144495,1
1,0,-0.08851989999948268,-0.015249200000046889,0.021374800000254896,0.16666666666666666,0.04844006568144495,0.04844006568144495,1
11,0,-0.12678999999991447,-0.04259073333328919,0.04871859999999136,0.16666666666666666,0.04844006568144495,0.04844006568144495,1
3,0,0.3989957000000005,0.10968749999998789,0.10968749999998789,1,0.04844006568144495,0.04844006568144495,1
6,0,-0.9995426999994379,0.21322283333392988,0.8584310333335452,0.6666666666666666,0.04844006568144495,0.04844006568144495,1
22,0,-0.28326299999935145,-0.23127466666604354,0.23127466666604354,0.0,0.04844006568144495,0.04844006568144495,1
25,0,-4.3324872999999124,-4.010729899999965,4.010729899999965,0.0,0.04844006568144495,0.04844006568144495,1
18,0,-1.001164000000017,-0.665026433333575,0.665026433333575,0.0,0.04844006568144495,0.04844006568144495,1
24,0,-0.39451710000003004,-0.32723823333329466,0.32723823333329466,0.0,0.04844006568144495,0.04844006568144495,1
10,0,0.2983556000108364,0.012799300010859346,0.013136833333798373,0.6666666666666666,0.04844006568144495,0.04844006568144495,1
17,0,-1.457921400000032,-1.035669566666608,1.035669566666608,0.0,0.04844006568144495,0.04844006568144495,1
14,0,-0.12171899999975716,-0.13941783333325472,0.13941783333325472,0.0,0.04844006568144495,0.04844006568144495,1
23,0,-0.7691469999999754,-0.6994512333333583,0.6994512333333583,0.0,0.04844006568144495,0.04844006568144495,1
9,0,-0.0874165999998695,0.11365160000013919,0.19585400000005385,0.6666666666666666,0.04844006568144495,0.04844006568144495,1
8,0,-0.0691322999998647,0.10637360000017299,0.19593286666660484,0.16666666666666666,0.04844006568144495,0.04844006568144495,1
26,0,0.05310970000027737,0.054219600000578794,0.06503746666749066,0.6666666666666666,0.04844006568144495,0.04844006568144495,1
20,0,-0.34496799999988065,-0.35499153333330463,0.35499153333330463,0.0,0.04844006568144495,0.04844006568144495,1
19,0,-0.4930523000002718,-2.5167574333339267,2.5167574333339267,0.0,0.04844006568144495,0.04844006568144495,1
5,0,-0.15185919999976244,-0.13105629999987894,0.13105629999987894,0.0,0.04844006568144495,0.04844006568144495,1
2,0,-0.16843679999874434,-0.0033727666656583146,0.017157499999787756,0.6666666666666666,0.04844006568144495,0.04844006568144495,1
7,0,-0.030406300000322517,0.04491539999920254,0.04491539999920254,1,0.04844006568144495,0.04844006568144495,1
12,0,-0.021598700000026894,-0.06040726666670556,0.06040726666670556,0.0,0.04844006568144495,0.04844006568144495,1
